opened,closed,side,entry_type,entry,exit,amount,leverage,gross_pnl,net_pnl,fees,reason,sentiment
2023-03-27 16:00:00+00:00,2023-03-29 08:00:00+00:00,long,mean_reversion,26968.94,28353.99,0.05306079999401822,1.0435638561915903,73.49186103171509,71.9873756392927,2.9354789238130703,take_profit,59.22956983140912
2023-04-26 00:00:00+00:00,2023-04-26 16:00:00+00:00,long,squeeze_breakout,28309.1,27884.24,0.03608494651488046,0.708505590961502,-15.331050376312001,-16.33725168532009,2.027733668392493,stop_loss,57.30286724079507
2023-05-01 16:00:00+00:00,2023-05-02 12:00:00+00:00,short,squeeze_breakout,27843.36,28540.68,0.035602574418447906,0.6959125072749937,-24.826387193472083,-25.84250887712519,2.0074169801127435,trend_reversal,37.27037836610093
2023-05-12 00:00:00+00:00,2023-05-15 04:00:00+00:00,short,squeeze_breakout,26584.32,27407.48,0.030027564318027528,0.5711583367095137,-24.717489844027536,-25.54046971252259,1.6212422471460788,stop_loss,39.25278948088527
2023-05-23 04:00:00+00:00,2023-05-24 12:00:00+00:00,short,mean_reversion,27304.4,26314.69,0.04655454382779056,0.9269752400241318,46.07549757180273,44.850429182883005,2.4962122754112466,take_profit,78.25569880552332
2023-05-31 12:00:00+00:00,2023-06-03 12:00:00+00:00,short,squeeze_breakout,26911.54,27305.26,0.044910406854541327,0.8542241932448649,-17.6821253867699,-18.908415722638935,2.434898546351296,trend_reversal,67.17423030219636
2023-06-05 08:00:00+00:00,2023-06-05 16:00:00+00:00,short,squeeze_breakout,26773.39,25629.99,0.07644076408220836,1.4673509366008335,87.40236965159687,85.44319363257752,4.005754407690316,trend_reversal,65.68785734568442
2023-06-17 00:00:00+00:00,2023-06-17 16:00:00+00:00,short,mean_reversion,26262.16,26475.3,0.06486765831665532,1.1525055310323988,-13.825892693611877,-15.543283407842821,3.420955535768278,trend_reversal,50.25084877551939
2023-06-20 00:00:00+00:00,2023-06-20 16:00:00+00:00,long,squeeze_breakout,26896.52,27982.77,0.06113182446163684,1.1254984995396984,66.40444432145301,64.69380653786266,3.3548711228592625,trend_reversal,63.88764602374114
2023-06-20 20:00:00+00:00,2023-06-21 00:00:00+00:00,long,squeeze_breakout,28307.99,28711.15,0.040955985917423436,0.7607775708828437,16.511815282468426,15.335921827395394,2.3352750948635954,trend_reversal,70.0
2023-06-21 12:00:00+00:00,2023-06-21 16:00:00+00:00,long,squeeze_breakout,29851.58,30112.03,0.030657759883184203,0.5950009467688133,7.984813561575236,7.0616461762399965,1.838349957108903,trend_reversal,70.0
2023-07-07 00:00:00+00:00,2023-07-07 08:00:00+00:00,long,mean_reversion,30135.4,30118.7,0.06861195728439297,1.3389201063530676,-1.1458196866494126,-3.2123226445108592,4.134151735409542,trend_reversal,65.4548225755397
2023-07-18 16:00:00+00:00,2023-07-18 20:00:00+00:00,short,squeeze_breakout,29715.99,29859.13,0.0543800332076677,1.0500137806404732,-7.7839579533455225,-9.40769843429759,3.239697003950788,trend_reversal,50.078703491308566
2023-07-24 08:00:00+00:00,2023-08-01 16:00:00+00:00,short,squeeze_breakout,29269.99,29274.41,0.06564479688873509,1.2575064673624523,-0.29015000224809445,-2.21186270073565,3.843135246972863,stop_loss,45.89869574383691
2023-08-16 20:00:00+00:00,2023-08-17 08:00:00+00:00,short,squeeze_breakout,28730.51,28545.11,0.08161007093960945,1.5386889510307626,15.130507152203414,12.800938700124458,4.6742674113101135,trend_reversal,57.50906084160412
